"sex"	"age"	"edu"	"occ"	"oexp"	"income"
"1215"	"m"	54	"med."	"high"	33	1631
"1216"	"m"	53	"med."	"high"	31	1516
"1217"	"m"	48	"med."	"high"	26	1553
"1218"	"f"	30	"med."	"low"	3	1038
"1219"	"m"	49	"high"	"high"	25	1621
"1220"	"f"	37	"med."	"med."	12	1109
"1221"	"m"	59	"low"	"med."	42	1406
"1222"	"f"	27	"low"	"low"	6	809
"1223"	"m"	58	"med."	"high"	37	1492
"1224"	"m"	35	"high"	"high"	11	1507
"1225"	"m"	32	"med."	"high"	13	1615
"1226"	"m"	26	"high"	"med."	0	1680
"1227"	"m"	31	"med."	"med."	10	1205
"1228"	"f"	53	"low"	"low"	30	834
"1229"	"f"	35	"med."	"med."	9	1145
"1230"	"m"	54	"med."	"high"	34	1549
"1231"	"f"	62	"med."	"med."	39	1248
"1232"	"f"	42	"med."	"med."	17	1096
"1233"	"m"	35	"low"	"low"	16	1233
"1234"	"m"	44	"high"	"med."	17	1312
"1235"	"f"	51	"med."	"med."	24	1318
"1236"	"m"	25	"low"	"low"	7	999
"1237"	"m"	59	"med."	"high"	37	1691
"1238"	"m"	57	"low"	"med."	39	1624
"1239"	"m"	33	"med."	"med."	11	1307
"1240"	"m"	41	"high"	"high"	17	1693
"1241"	"f"	31	"high"	"med."	0	1322
"1242"	"m"	37	"med."	"high"	17	1633
"1243"	"f"	35	"high"	"med."	4	1183
"1244"	"f"	48	"low"	"low"	25	1043
"1245"	"m"	48	"low"	"med."	29	1232
"1246"	"m"	32	"low"	"low"	15	1372
"1247"	"f"	45	"high"	"med."	16	1518
"1248"	"m"	18	"high"	"high"	0	1623
"1249"	"f"	42	"high"	"high"	14	1375
"1250"	"m"	46	"med."	"high"	25	1720
"1251"	"m"	25	"low"	"low"	7	1015
"1252"	"m"	27	"low"	"low"	7	1274
"1253"	"m"	63	"med."	"high"	42	1517
"1254"	"m"	50	"high"	"high"	25	1742
"1255"	"f"	33	"low"	"low"	13	999
"1256"	"m"	42	"high"	"high"	17	1600
"1257"	"m"	32	"med."	"med."	13	1542
"1258"	"f"	45	"low"	"low"	21	1049
"1259"	"f"	29	"low"	"low"	3	1055
"1260"	"f"	39	"med."	"med."	16	1476
"1261"	"m"	26	"med."	"low"	2	1003
"1262"	"f"	59	"low"	"med."	35	1235
"1263"	"m"	59	"low"	"high"	41	1444
"1264"	"f"	45	"low"	"low"	21	1120
"1265"	"f"	41	"high"	"high"	15	1622
"1266"	"f"	57	"low"	"low"	32	1111
"1267"	"m"	34	"med."	"med."	12	1238
"1268"	"m"	28	"low"	"low"	9	1200
"1269"	"m"	22	"low"	"low"	3	1048
"1270"	"m"	28	"med."	"low"	7	1137
"1271"	"f"	60	"low"	"med."	36	1399
"1272"	"f"	60	"high"	"high"	31	1356
"1273"	"m"	31	"low"	"low"	14	1128
"1274"	"f"	53	"high"	"high"	24	1497
"1275"	"f"	25	"high"	"high"	0	1385
"1276"	"f"	48	"low"	"low"	30	857
"1277"	"m"	48	"med."	"high"	27	1552
"1278"	"m"	62	"low"	"high"	45	1572
"1279"	"m"	58	"med."	"high"	38	1418
"1280"	"f"	36	"high"	"high"	9	1344
"1281"	"m"	34	"low"	"low"	14	1104
"1282"	"m"	58	"low"	"med."	40	1391
"1284"	"m"	25	"low"	"low"	8	1017
"1285"	"f"	45	"low"	"med."	23	1158
"1286"	"f"	26	"low"	"low"	5	904
"1287"	"f"	55	"low"	"med."	35	1385
"1288"	"m"	62	"low"	"med."	44	1399
"1289"	"f"	34	"low"	"low"	12	1073
"1290"	"f"	50	"low"	"low"	28	1111
"1291"	"m"	40	"med."	"high"	19	1608
"1292"	"f"	29	"low"	"low"	6	922
"1293"	"f"	22	"high"	"med."	0	1172
"1294"	"m"	40	"high"	"high"	15	1553
"1295"	"m"	21	"med."	"med."	0	1267
"1296"	"f"	46	"med."	"med."	21	1209
"1297"	"m"	63	"med."	"high"	43	1904
"1298"	"m"	24	"med."	"med."	3	1284
"1299"	"f"	26	"high"	"med."	0	1242
"1300"	"f"	43	"low"	"low"	22	1003
"1301"	"f"	24	"low"	"low"	3	852
"1302"	"m"	50	"low"	"med."	33	1235
"1303"	"f"	23	"high"	"high"	0	1426
"1304"	"f"	59	"med."	"med."	35	1372
"1305"	"f"	59	"high"	"high"	28	1496
"1306"	"m"	43	"low"	"low"	24	1153
"1307"	"m"	51	"med."	"high"	30	1490
"1308"	"f"	61	"low"	"med."	40	1086
"1309"	"f"	43	"med."	"med."	23	1432
"1310"	"m"	22	"med."	"med."	2	1254
"1311"	"f"	50	"high"	"high"	20	1451
"1312"	"m"	44	"high"	"high"	20	1726
"1313"	"f"	37	"high"	"med."	9	1234
"1314"	"m"	39	"med."	"high"	20	1614
"1315"	"f"	24	"med."	"med."	0	1021
"1316"	"m"	54	"med."	"high"	34	1600
"1317"	"m"	34	"low"	"low"	17	1185
"1318"	"m"	57	"low"	"med."	36	1428
"1319"	"m"	50	"low"	"high"	31	1518
"1320"	"m"	54	"med."	"high"	34	1825
"1321"	"f"	25	"low"	"low"	4	879
"1322"	"f"	35	"med."	"low"	10	1465
"1323"	"f"	60	"low"	"low"	36	1201
"1324"	"m"	35	"med."	"high"	16	1327
"1325"	"m"	26	"med."	"med."	7	1197
"1326"	"f"	26	"high"	"high"	0	1390
"1327"	"m"	24	"low"	"low"	7	1151
"1328"	"f"	23	"med."	"med."	0	1060
"1329"	"m"	62	"low"	"high"	43	1474
"1330"	"m"	20	"med."	"med."	0	1094
"1331"	"f"	40	"med."	"low"	16	969
"1332"	"f"	46	"low"	"low"	27	1073
"1333"	"m"	54	"high"	"high"	31	1782
"1334"	"m"	22	"med."	"med."	0	1214
"1335"	"f"	32	"low"	"low"	11	1096
"1336"	"f"	60	"med."	"high"	39	1690
"1337"	"m"	43	"low"	"med."	25	1396
"1338"	"f"	63	"low"	"low"	41	1157
"1339"	"f"	32	"low"	"low"	11	1022
"1340"	"f"	34	"high"	"high"	5	1468
"1341"	"m"	60	"low"	"med."	42	1172
"1342"	"f"	52	"high"	"high"	24	1413
"1343"	"m"	38	"low"	"med."	20	1375
"1344"	"m"	30	"low"	"med."	12	1337
"1345"	"f"	31	"high"	"high"	4	1332
"1346"	"f"	30	"med."	"low"	0	1032
"1347"	"m"	61	"low"	"high"	44	1830
"1348"	"m"	53	"high"	"high"	29	1824
"1349"	"f"	59	"low"	"low"	40	880
"1350"	"m"	23	"med."	"low"	2	1046
"1351"	"f"	28	"low"	"low"	6	1074
"1352"	"f"	49	"high"	"med."	22	1361
"1353"	"m"	28	"high"	"med."	2	1487
"1354"	"f"	35	"med."	"med."	9	1168
"1355"	"f"	28	"high"	"high"	0	1514
"1356"	"f"	23	"med."	"low"	0	868
"1357"	"m"	27	"high"	"high"	2	1579
"1358"	"m"	25	"low"	"low"	6	1097
"1359"	"f"	34	"low"	"low"	13	759
"1360"	"m"	35	"low"	"low"	18	1148
"1361"	"m"	43	"low"	"med."	25	1034
"1362"	"m"	37	"med."	"high"	17	1370
"1363"	"m"	29	"low"	"low"	9	1181
"1364"	"m"	37	"med."	"med."	18	1511
"1365"	"f"	50	"low"	"low"	26	915
"1366"	"f"	41	"med."	"med."	16	1381
"1367"	"m"	59	"high"	"high"	34	1892
"1368"	"f"	49	"low"	"low"	29	933
"1369"	"m"	29	"high"	"high"	4	1501
"1370"	"m"	29	"low"	"low"	10	1194
"1371"	"m"	32	"med."	"high"	11	1267
"1372"	"m"	28	"med."	"med."	7	1210
"1373"	"m"	65	"low"	"med."	48	1368
"1374"	"f"	26	"high"	"high"	0	1272
"1375"	"f"	36	"med."	"high"	11	1240
"1376"	"f"	52	"high"	"high"	22	1292
"1377"	"m"	40	"low"	"med."	23	1463
"1378"	"f"	24	"high"	"med."	0	1272
"1379"	"m"	35	"med."	"low"	13	989
"1380"	"f"	50	"med."	"med."	23	1446
"1381"	"m"	42	"low"	"med."	25	1358
"1382"	"m"	31	"med."	"med."	10	1449
"1383"	"f"	53	"med."	"low"	27	941
"1384"	"f"	25	"high"	"high"	0	1447
"1385"	"m"	59	"low"	"med."	41	1583
"1386"	"f"	63	"low"	"med."	41	1302
"1387"	"m"	40	"med."	"high"	20	1503
"1388"	"m"	62	"low"	"high"	46	1800
"1389"	"m"	47	"low"	"low"	31	976
"1390"	"f"	40	"med."	"high"	16	1397
"1391"	"f"	53	"med."	"low"	24	1156
"1392"	"f"	39	"low"	"low"	17	1095
"1393"	"m"	52	"high"	"high"	27	1816
"1394"	"m"	44	"med."	"high"	22	1659
"1395"	"m"	34	"low"	"med."	16	1095
"1396"	"m"	43	"low"	"med."	25	1239
"1397"	"m"	60	"low"	"med."	43	1424
"1398"	"m"	47	"med."	"high"	25	1760
"1399"	"m"	25	"low"	"low"	6	1096
"1400"	"m"	50	"med."	"high"	30	1696
"1401"	"m"	49	"med."	"med."	28	1462
"1402"	"f"	33	"med."	"med."	14	1273
"1403"	"f"	28	"high"	"high"	0	1412
"1404"	"m"	53	"low"	"med."	34	1393
"1405"	"f"	28	"high"	"med."	2	1241
"1406"	"m"	60	"high"	"high"	35	1800
"1407"	"f"	41	"low"	"low"	19	884
"1408"	"f"	54	"med."	"med."	29	1518
"1409"	"f"	51	"low"	"low"	24	968
"1410"	"f"	36	"high"	"high"	9	1432
"1411"	"f"	43	"low"	"low"	24	1028
"1412"	"m"	19	"low"	"low"	1	942
"1413"	"m"	29	"low"	"low"	11	1111
"1414"	"f"	33	"low"	"low"	7	1059
"1415"	"f"	38	"low"	"low"	18	940
"1416"	"f"	30	"med."	"med."	5	1177
"1417"	"f"	53	"high"	"high"	27	1601
"1418"	"f"	29	"med."	"low"	3	1129
"1419"	"m"	29	"high"	"high"	4	1565
"1420"	"m"	24	"low"	"low"	5	892
"1421"	"m"	43	"med."	"med."	22	1453
"1422"	"m"	22	"med."	"low"	2	1046
"1423"	"f"	22	"med."	"med."	0	1039
"1424"	"m"	63	"high"	"high"	38	1861
"1425"	"f"	57	"low"	"low"	34	1036
"1426"	"m"	37	"med."	"high"	16	1675
"1427"	"m"	59	"high"	"high"	35	1781
"1428"	"m"	30	"high"	"high"	5	1558
"1429"	"m"	48	"med."	"high"	28	1659
"1430"	"m"	44	"low"	"high"	25	1411
"1431"	"m"	51	"low"	"med."	33	1425
"1432"	"f"	63	"med."	"high"	39	1510
"1433"	"m"	42	"high"	"high"	16	1772
"1434"	"m"	24	"high"	"high"	0	1527
"1435"	"f"	21	"low"	"low"	0	1138
"1436"	"f"	37	"med."	"med."	19	1255
"1437"	"f"	25	"med."	"med."	2	1362
"1438"	"f"	52	"med."	"low"	26	1169
"1439"	"f"	56	"high"	"high"	27	1772
"1440"	"m"	55	"high"	"high"	29	1680
"1441"	"m"	50	"med."	"high"	29	1768
"1442"	"m"	49	"high"	"high"	24	1592
"1443"	"f"	36	"low"	"low"	17	898
"1444"	"f"	34	"med."	"med."	10	1305
"1445"	"f"	41	"low"	"low"	16	1197
"1446"	"m"	28	"high"	"med."	2	1204
"1447"	"f"	26	"low"	"low"	3	792
"1448"	"f"	27	"high"	"med."	1	899
"1449"	"f"	37	"low"	"low"	16	937
"1450"	"f"	34	"low"	"low"	15	1131
"1451"	"m"	32	"med."	"med."	11	1181
"1452"	"f"	50	"med."	"med."	27	1443
"1453"	"f"	22	"med."	"low"	0	1074
"1454"	"f"	36	"med."	"low"	7	1062
"1455"	"m"	25	"high"	"high"	0	1760
"1456"	"m"	43	"low"	"med."	27	1274
"1457"	"f"	47	"med."	"med."	20	1286
"1458"	"f"	51	"low"	"low"	30	1192
"1459"	"f"	37	"med."	"low"	14	1088
"1460"	"m"	29	"low"	"low"	11	1176
"1461"	"m"	30	"low"	"low"	13	1165
"1462"	"m"	42	"med."	"high"	20	1633
"1463"	"m"	55	"med."	"high"	34	1664
"1464"	"f"	61	"med."	"med."	31	1253
"1465"	"f"	40	"low"	"low"	16	958
"1466"	"m"	23	"low"	"low"	3	922
"1467"	"m"	31	"med."	"med."	11	1383
"1468"	"m"	25	"med."	"low"	4	1113
"1469"	"m"	18	"med."	"low"	0	1233
"1470"	"f"	37	"med."	"med."	11	1319
"1471"	"m"	61	"low"	"high"	44	1342
"1472"	"m"	28	"med."	"med."	7	1460
"1473"	"f"	32	"low"	"low"	8	945
"1474"	"f"	49	"high"	"high"	24	1634
"1475"	"f"	31	"med."	"med."	8	1156
"1476"	"m"	37	"high"	"high"	13	1676
"1477"	"f"	39	"low"	"low"	19	1034
"1478"	"m"	49	"med."	"high"	27	1807
"1479"	"f"	28	"med."	"med."	0	1199
"1480"	"m"	33	"low"	"low"	15	1167
"1481"	"m"	50	"med."	"high"	30	1530
"1482"	"m"	44	"low"	"low"	25	1169
"1483"	"f"	40	"high"	"high"	9	1278
"1484"	"f"	52	"med."	"med."	25	1226
"1485"	"f"	45	"high"	"med."	16	1345
"1486"	"m"	51	"med."	"high"	30	1715
"1487"	"m"	22	"med."	"med."	0	1263
"1488"	"f"	30	"high"	"med."	0	1193
"1489"	"m"	50	"med."	"high"	28	1712
"1490"	"m"	35	"low"	"low"	17	1140
"1491"	"f"	42	"high"	"high"	12	1634
"1492"	"m"	46	"low"	"med."	29	1495
"1493"	"f"	41	"med."	"high"	18	1443
"1494"	"f"	57	"low"	"low"	34	1233
"1495"	"f"	57	"high"	"med."	26	1419
"1496"	"m"	37	"med."	"high"	16	1563
"1497"	"m"	23	"med."	"low"	1	1133
"1498"	"m"	56	"high"	"high"	32	2115
"1499"	"f"	50	"med."	"med."	23	1313
"1500"	"f"	49	"low"	"med."	30	1408
"1501"	"f"	57	"med."	"med."	34	1240
"1502"	"f"	41	"med."	"low"	14	1148
"1503"	"f"	21	"low"	"low"	0	1007
"1504"	"f"	25	"low"	"low"	0	720
"1505"	"f"	65	"low"	"low"	41	1013
"1506"	"m"	47	"low"	"med."	29	1336
"1507"	"m"	33	"low"	"low"	15	1074
"1508"	"m"	42	"med."	"high"	21	1446
"1509"	"m"	61	"high"	"high"	35	1871
"1510"	"m"	32	"high"	"high"	6	1373
"1511"	"m"	55	"med."	"med."	33	1398
"1512"	"m"	34	"low"	"med."	18	1252
"1513"	"m"	50	"low"	"high"	33	1408
"1514"	"m"	43	"med."	"med."	21	1314
"1515"	"m"	44	"med."	"med."	24	1457
"1516"	"m"	41	"med."	"med."	22	1417
"1517"	"f"	23	"med."	"low"	0	948
"1518"	"f"	27	"med."	"med."	0	940
"1519"	"m"	31	"low"	"low"	13	1108
"1520"	"f"	20	"high"	"high"	0	1370
"1521"	"m"	46	"high"	"high"	20	1689
"1522"	"m"	52	"med."	"high"	29	1439
"1523"	"f"	60	"low"	"low"	44	1120
"1524"	"m"	25	"med."	"low"	5	1281
"1525"	"f"	32	"low"	"low"	12	1107
"1526"	"f"	24	"low"	"low"	4	893
"1527"	"f"	57	"low"	"low"	30	1112
"1528"	"f"	39	"med."	"med."	11	1097
"1529"	"f"	51	"high"	"high"	23	1453
"1530"	"m"	25	"low"	"low"	7	1118
"1531"	"f"	32	"med."	"med."	6	1414
"1532"	"m"	58	"high"	"high"	33	1608
"1533"	"m"	37	"high"	"med."	13	1677
"1534"	"m"	26	"med."	"low"	4	1153
"1535"	"f"	46	"med."	"med."	20	1419
"1536"	"f"	47	"low"	"med."	24	1262
"1537"	"m"	29	"low"	"low"	11	1253
"1538"	"m"	35	"med."	"med."	14	1449
"1539"	"f"	37	"low"	"low"	17	1060
"1540"	"m"	47	"high"	"high"	23	1697
"1541"	"f"	64	"med."	"med."	40	1272
"1542"	"f"	26	"low"	"low"	4	1018
"1543"	"f"	34	"low"	"med."	16	1163
"1544"	"f"	51	"med."	"low"	27	1399
"1545"	"f"	37	"high"	"high"	5	1248
"1546"	"f"	33	"med."	"med."	6	1111
"1547"	"f"	49	"low"	"low"	26	901
"1548"	"m"	39	"low"	"low"	23	1235
"1549"	"f"	24	"high"	"high"	0	1568
"1550"	"m"	50	"high"	"high"	24	1691
"1551"	"f"	33	"low"	"low"	10	1095
"1552"	"f"	57	"high"	"high"	31	1602
"1553"	"m"	54	"low"	"high"	37	1348
"1554"	"m"	61	"low"	"med."	43	1456
"1555"	"f"	31	"med."	"low"	5	1170
"1556"	"m"	38	"low"	"low"	20	1207
"1557"	"m"	39	"low"	"low"	21	1406
"1558"	"m"	34	"med."	"high"	12	1384
"1559"	"f"	37	"med."	"low"	8	1194
"1560"	"m"	49	"high"	"high"	26	1845
"1561"	"f"	27	"high"	"med."	0	1288
"1562"	"m"	48	"med."	"high"	26	1672
"1563"	"m"	41	"high"	"high"	15	1604
"1564"	"m"	36	"low"	"low"	19	1120
"1565"	"m"	21	"low"	"low"	4	794
"1566"	"f"	57	"high"	"high"	26	1654
"1567"	"f"	31	"med."	"med."	6	1004
"1568"	"f"	56	"med."	"high"	30	1367
"1569"	"f"	45	"med."	"high"	20	1355
"1570"	"f"	27	"high"	"high"	0	1455
"1571"	"m"	54	"low"	"high"	36	1187
"1572"	"f"	36	"med."	"low"	14	982
"1573"	"m"	56	"high"	"high"	30	1840
"1574"	"f"	43	"med."	"low"	18	1088
"1575"	"m"	29	"med."	"med."	7	1279
"1576"	"m"	37	"high"	"high"	13	1574
"1577"	"m"	56	"low"	"med."	37	1330
"1578"	"m"	48	"low"	"med."	30	1359
"1579"	"f"	32	"high"	"high"	5	1377
"1580"	"m"	37	"low"	"med."	18	1251
"1581"	"f"	27	"low"	"low"	6	911
"1582"	"f"	58	"low"	"low"	38	1201
"1583"	"m"	38	"low"	"low"	19	952
"1584"	"m"	28	"high"	"high"	2	1617
"1585"	"m"	43	"med."	"med."	21	1362
"1586"	"m"	42	"med."	"med."	19	1381
"1587"	"m"	40	"high"	"high"	16	1713
"1588"	"m"	29	"med."	"low"	6	1069
"1589"	"f"	41	"med."	"med."	14	1235
"1590"	"m"	32	"med."	"med."	12	1427
"1591"	"m"	26	"low"	"low"	9	1121
"1592"	"m"	40	"low"	"low"	23	1299
"1593"	"m"	28	"high"	"med."	3	1501
"1594"	"m"	40	"med."	"med."	20	1356
"1595"	"m"	40	"low"	"low"	22	1150
"1596"	"m"	25	"med."	"med."	5	1358
"1597"	"f"	29	"low"	"low"	4	887
"1598"	"m"	34	"low"	"low"	15	1196
"1599"	"m"	32	"low"	"low"	13	1018
"1600"	"f"	30	"low"	"low"	7	993
"1601"	"f"	48	"high"	"high"	17	1418
"1602"	"m"	56	"low"	"high"	37	1338
"1603"	"m"	48	"med."	"high"	27	1581
"1604"	"f"	45	"low"	"low"	23	1082
"1605"	"f"	38	"low"	"low"	16	1035
"1606"	"m"	32	"low"	"low"	12	1316
"1607"	"m"	21	"high"	"med."	0	1313
"1608"	"m"	42	"low"	"low"	24	1112
"1609"	"f"	59	"med."	"high"	34	1616
"1610"	"f"	52	"low"	"low"	31	1110
"1611"	"m"	34	"high"	"high"	7	1475
"1612"	"m"	56	"med."	"high"	37	1526
"1613"	"m"	30	"low"	"med."	12	1226
"1614"	"f"	25	"med."	"low"	2	1154
"1615"	"f"	52	"low"	"med."	31	1099
"1616"	"f"	55	"high"	"high"	30	1532
"1617"	"m"	26	"med."	"low"	5	1092
"1618"	"m"	25	"med."	"high"	4	1365
"1619"	"m"	59	"low"	"med."	40	1271
"1620"	"f"	25	"med."	"low"	4	1239
"1621"	"m"	24	"high"	"med."	0	1481
"1622"	"m"	30	"med."	"med."	9	1141
"1623"	"f"	22	"low"	"low"	1	727
"1624"	"m"	61	"low"	"high"	43	1705
"1625"	"f"	49	"low"	"med."	26	868
"1626"	"m"	27	"med."	"med."	7	1286
"1627"	"f"	27	"low"	"low"	7	861
"1628"	"f"	51	"med."	"med."	27	972
"1629"	"m"	55	"low"	"med."	38	1608
"1630"	"m"	28	"med."	"low"	6	1381
"1631"	"m"	36	"low"	"low"	19	1198
"1632"	"m"	33	"low"	"low"	16	1329
"1633"	"f"	61	"high"	"high"	32	1663
"1634"	"m"	47	"high"	"high"	23	1692
"1635"	"f"	40	"high"	"high"	8	1369
"1636"	"f"	35	"med."	"med."	9	1073
"1637"	"m"	35	"med."	"med."	15	1464
"1638"	"m"	51	"high"	"high"	24	1777
"1639"	"f"	30	"high"	"med."	0	1121
"1640"	"m"	45	"med."	"med."	25	1385
"1641"	"m"	35	"low"	"med."	17	1472
"1642"	"m"	63	"high"	"high"	38	1934
"1643"	"f"	53	"med."	"med."	31	1120
"1644"	"m"	27	"med."	"med."	6	1200
"1645"	"f"	28	"med."	"low"	2	1128
"1646"	"m"	37	"high"	"high"	12	1555
"1647"	"m"	47	"med."	"high"	26	1537
"1648"	"f"	59	"low"	"med."	38	1106
"1649"	"f"	22	"high"	"high"	0	1385
"1650"	"m"	34	"med."	"med."	11	1287
"1651"	"m"	60	"low"	"med."	41	1584
"1652"	"f"	42	"low"	"low"	20	933
"1653"	"m"	56	"low"	"med."	37	1392
"1654"	"m"	25	"med."	"med."	5	1235
"1655"	"f"	47	"high"	"high"	21	1517
"1656"	"m"	21	"high"	"med."	0	1198
"1657"	"f"	46	"med."	"high"	20	1353
"1658"	"f"	48	"med."	"med."	20	1261
"1659"	"f"	33	"med."	"med."	7	1087
"1660"	"m"	29	"med."	"med."	9	1212
"1661"	"m"	23	"low"	"low"	6	1185
"1662"	"m"	50	"low"	"high"	32	1531
"1663"	"f"	27	"high"	"high"	0	1423
"1664"	"m"	21	"low"	"low"	3	862
"1665"	"m"	25	"med."	"med."	3	1250
"1666"	"f"	53	"low"	"low"	32	1252
"1667"	"m"	28	"med."	"med."	7	1377
"1668"	"m"	61	"med."	"high"	40	1810
"1669"	"m"	22	"high"	"med."	0	1290
"1670"	"m"	54	"med."	"high"	31	1517
"1671"	"f"	37	"low"	"low"	14	917
"1672"	"f"	34	"low"	"low"	13	1043
"1673"	"f"	57	"low"	"med."	33	1189
"1674"	"m"	55	"high"	"high"	29	1881
"1675"	"f"	41	"low"	"low"	19	1012
"1676"	"m"	36	"med."	"med."	17	1392
"1677"	"f"	32	"high"	"high"	2	1320
"1678"	"m"	29	"low"	"low"	11	948
"1679"	"f"	23	"med."	"med."	0	1012
"1680"	"f"	39	"med."	"med."	12	1281
"1681"	"m"	29	"low"	"low"	11	1007
"1682"	"f"	25	"med."	"med."	4	1197
"1683"	"f"	45	"med."	"med."	18	1270
"1684"	"f"	48	"low"	"low"	25	1030
"1685"	"m"	51	"med."	"high"	29	1561
"1686"	"m"	31	"high"	"high"	6	1378
"1687"	"m"	62	"med."	"high"	42	1638
"1688"	"m"	33	"high"	"high"	8	1554
"1689"	"m"	47	"low"	"med."	29	1279
"1690"	"m"	53	"low"	"med."	36	1472
"1691"	"f"	60	"high"	"high"	33	1486
"1692"	"m"	27	"high"	"high"	3	1593
"1693"	"m"	27	"low"	"low"	9	937
"1694"	"m"	56	"low"	"high"	39	1632
"1695"	"f"	55	"med."	"low"	28	1071
"1696"	"f"	48	"med."	"med."	27	1170
"1697"	"f"	43	"med."	"med."	17	1317
"1698"	"m"	41	"med."	"med."	20	1475
"1699"	"f"	41	"med."	"med."	17	1089
"1700"	"f"	48	"med."	"low"	23	1596
"1701"	"m"	30	"med."	"med."	7	1092
"1702"	"m"	26	"low"	"low"	7	1222
"1703"	"f"	57	"low"	"low"	34	932
"1704"	"f"	43	"high"	"med."	18	1381
"1705"	"m"	25	"low"	"low"	7	1336
"1706"	"m"	21	"high"	"med."	0	1141
"1707"	"m"	49	"med."	"high"	27	1599
"1708"	"m"	18	"low"	"low"	0	1108
"1709"	"f"	27	"high"	"med."	0	1141
"1710"	"f"	30	"low"	"low"	6	895
"1711"	"m"	49	"med."	"high"	28	1707
"1712"	"m"	53	"med."	"high"	32	1683
"1713"	"m"	37	"low"	"low"	19	1197
"1714"	"f"	58	"low"	"low"	35	1328
"1715"	"f"	51	"high"	"high"	19	1264
"1716"	"f"	46	"high"	"high"	17	1535
"1717"	"f"	45	"high"	"high"	17	1536
"1718"	"m"	27	"low"	"low"	11	1196
"1719"	"f"	32	"med."	"med."	10	1096
"1720"	"f"	42	"med."	"high"	14	1470
"1721"	"m"	56	"low"	"high"	40	1515
"1722"	"m"	42	"low"	"low"	25	1259
"1723"	"m"	64	"low"	"high"	46	1607
"1724"	"f"	25	"med."	"low"	3	921
"1725"	"f"	51	"med."	"med."	30	1247
"1726"	"m"	58	"med."	"high"	36	1678
"1727"	"m"	39	"low"	"med."	21	1330
"1728"	"f"	24	"high"	"med."	0	1165
"1729"	"m"	24	"low"	"low"	7	1004
"1730"	"m"	40	"med."	"med."	17	1714
"1731"	"m"	49	"high"	"high"	25	1693
"1732"	"m"	30	"med."	"med."	11	1273
"1733"	"f"	51	"high"	"med."	24	1422
"1734"	"f"	35	"med."	"med."	12	1330
"1735"	"f"	34	"low"	"low"	12	997
"1736"	"f"	43	"high"	"high"	15	1523
"1737"	"f"	55	"low"	"low"	30	937
"1738"	"m"	58	"med."	"high"	39	1680
"1739"	"m"	37	"high"	"high"	11	1645
"1740"	"m"	54	"low"	"high"	37	1454
"1741"	"f"	29	"high"	"high"	0	1334
"1742"	"f"	41	"low"	"low"	20	1162
"1743"	"f"	34	"low"	"low"	11	829
"1744"	"m"	55	"med."	"high"	35	1656
"1745"	"f"	62	"med."	"high"	38	1621
"1746"	"m"	22	"med."	"med."	1	1255
"1747"	"f"	43	"low"	"low"	18	1133
"1748"	"m"	46	"med."	"high"	24	1396
"1749"	"m"	27	"high"	"high"	3	1458
"1750"	"m"	55	"med."	"high"	35	1485
"1751"	"f"	48	"med."	"med."	23	1077
"1752"	"m"	64	"low"	"high"	46	1442
"1753"	"f"	58	"low"	"med."	31	1190
"1754"	"m"	62	"high"	"high"	38	1840
"1755"	"m"	30	"med."	"med."	8	1363
"1756"	"m"	32	"med."	"high"	13	1517
"1757"	"m"	54	"med."	"high"	35	1797
"1758"	"f"	32	"med."	"med."	8	1218
"1759"	"f"	47	"med."	"med."	23	1313
"1760"	"f"	30	"low"	"low"	15	994
"1761"	"f"	21	"med."	"low"	0	917
"1762"	"m"	52	"med."	"high"	31	1657
"1763"	"m"	37	"high"	"high"	11	1622
"1764"	"f"	51	"low"	"med."	29	1351
"1765"	"f"	43	"med."	"med."	16	1204
"1766"	"f"	29	"med."	"med."	4	1039
"1767"	"m"	23	"med."	"high"	2	1373
"1768"	"f"	53	"med."	"med."	27	1350
"1769"	"f"	25	"low"	"low"	4	903
"1770"	"f"	53	"low"	"med."	34	1034
"1771"	"f"	39	"med."	"low"	18	1140
"1772"	"f"	36	"high"	"high"	5	1432
"1773"	"m"	48	"low"	"low"	30	1082
"1774"	"m"	35	"med."	"med."	15	1386
"1775"	"m"	53	"high"	"high"	28	1769
"1776"	"f"	42	"low"	"low"	19	1074
"1777"	"f"	39	"med."	"low"	15	1057
"1778"	"m"	25	"low"	"low"	6	772
"1779"	"m"	35	"med."	"med."	15	1377
"1780"	"m"	54	"low"	"med."	35	1571
"1781"	"f"	44	"high"	"med."	14	1510
"1782"	"m"	48	"high"	"high"	25	1710
"1783"	"m"	41	"low"	"med."	23	1160
"1784"	"f"	47	"high"	"high"	16	1455
"1785"	"f"	36	"low"	"low"	15	923
"1786"	"m"	22	"med."	"med."	1	1067
"1787"	"m"	42	"low"	"med."	25	1351
"1788"	"m"	39	"high"	"high"	14	1646
"1789"	"m"	21	"low"	"low"	4	1061
"1790"	"m"	54	"low"	"med."	36	1342
"1791"	"f"	30	"med."	"med."	5	1181
"1792"	"f"	25	"med."	"med."	0	1113
"1793"	"m"	64	"med."	"high"	41	1704
"1794"	"m"	36	"low"	"med."	19	1371
"1795"	"f"	32	"low"	"low"	13	977
"1796"	"f"	36	"low"	"low"	10	726
"1797"	"m"	56	"med."	"high"	33	1653
"1798"	"m"	39	"med."	"med."	18	1354
"1799"	"f"	61	"high"	"high"	36	1622
